Company_Name,Leaders,No_of_Employee,Funding Type,Yr,Software Type,Industry,Category,Size,Website,LinkedIn,Address
AdminiTrack,Krishen Kota,11-50 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.adminitrack.com,https://www.linkedin.com/company/adminitrack-com/about/,"2221 Peachtree Rd NE, Suite D-629, Atlanta, GA 30309"
ADP,Gus Blanchard,"10,001+ employees",Public,Founded: 1949,B2B SaaS,Horizontal,Accounting and Finance,Large,www.adp.com,https://www.linkedin.com/company/adp/about/,"1155 Perimeter Center West, Alpharetta, GA 30338"
Advanced Control Systems,Kevin Sullivan,1001-5000 employees,Self-funded,Founded: 1975,B2B SaaS,"Energy, Gas, Oil, Utilities",Business Mgt and ERP,Large,www.acspower.com,https://www.linkedin.com/company/advancedcontrolsystems/about/,"Norcross, GA"
AEC360,Whit McIsaac,11-50 employees,Acquired,Founded: 2005,B2B SaaS,Construction,Business Mgt and ERP,Small,aec360.com,https://www.linkedin.com/company/aec360/about/,"137 Johnson Ferry Road, Suite 2240, Marietta, Atlanta, GA 30068"
Agentek,Milo Hall,51-200 employees,VC-funded,Founded: 1995,B2B SaaS,Horizontal,Logistics and Supply Chain,Medium,www.agentek.com,https://www.linkedin.com/company/agentek-inc./about/,"Alpharetta, GA"
Agilysys,Ramesh Srinivasan,1001-5000 employees,Public,Founded: 1963,B2B SaaS,"Entertainment, Hospitality, Travel",Business Mgt and ERP,Large,www.agilysys.com,https://www.linkedin.com/company/agilysys/about/,"1000 Windward Concourse, Suite 250, Alpharetta, GA 30005"
Allbound,Daniel Graff-Redford,11-50 employees,VC-funded,Founded: 2014,B2B SaaS,Horizontal,Sales and Marketing,Small,www.allbound.com,https://www.linkedin.com/company/allbound/about/,"3411 Pierce Dr, Chamblee, GA 30341"
Ally Commerce,Craig Haynor,51-200 employees,VC-funded,Founded: 2014,B2B SaaS,Horizontal,Ecommerce,Medium,allycommerce.com,https://www.linkedin.com/company/allycommerce/about/,"5500 Interstate N. Pkwy., Suite 300, Atlanta, GA 30328"
ALM,Bill Carter,501-1000 employees,Acquired,Founded: 1998,B2B SaaS,Horizontal,Analytics and BI,Large,www.alm.com,https://www.linkedin.com/company/alm/about/,"260 Peachtree St NW, Atlanta, GA 30303"
Alora Healthcare Systems,Sathish John,11-50 employees,Self-funded,Founded: 2005,B2B SaaS,Healthcare,Practice Management,Small,www.alorahealth.com,https://www.linkedin.com/company/alora-healthcare-systems/about/,"3455 Peachtree Rd NE, Suite 500, Atlanta, Georgia 30326, US"
American Megatrends (AMI),Sanjoy Maity,1001-5000 employees,Private Equity funding,Founded: 1985,B2B SaaS,Horizontal,IT Mgt,Large,www.ami.com,https://www.linkedin.com/company/ami/about/,"3095 Satellite Boulevard, Building 800, Suite 425, Duluth, Georgia 30096"
AMP Sport,David Nichols,11-50 employees,Angel or Seed Funding,Founded: 2014,B2B SaaS,Healthcare,Practice Management,Small,amprecover.com,https://www.linkedin.com/company/amprecover/about/,"675 Ponce De Leon Avenue NE, #8500, Atlanta, GA 30308"
AnswerRocket,Alon Goren,11-50 employees,Self-funded,Founded: 2013,B2B SaaS,Horizontal,Analytics and BI,Small,answerrocket.com,https://www.linkedin.com/company/3641823/about/,"5775 Glenridge Dr, Building B, Suite 450 , Atlanta, Georgia 30328,"
Anvizent,Raj Koneru,201-500 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,Analytics and BI,Medium,www.anvizent.com,https://www.linkedin.com/company/anvizent/about/,"2300 Holcomb Bridge Rd., Suite 103#109, Roswell, GA 30076"
AODocs,Stephan Donze,51-200 employees,Self-funded,Founded: 2012,B2B SaaS,Horizontal,Document Management,Medium,www.aodocs.com,https://www.linkedin.com/company/altirnao/about/,"1155 Perimeter Center W, Atlanta, GA 30338"
Apex Human Capital Management,Robert Digby,51-200 employees,Self-funded,Founded: 2008,B2B SaaS,Horizontal,HR and Recruiting,Medium,apexhcm.com,https://www.linkedin.com/company/apexhcm/about/,"500 Colonial Center Pkwy, Suite 650, Roswell, GA 30076, US"
Apparity,Nick Ferrante,11-50 employees,Angel or Seed Funding,Founded: 2009,B2B SaaS,Horizontal,Compliance,Small,www.apparity.com,https://www.linkedin.com/company/apparity-spreadsheetandeucmanagement/about/,"3475 Piedmont Road NE, Suite 450, Atlanta, GA 30305"
Apptega,Armistead Whitney,11-50 employees,Angel or Seed Funding,Founded: 2017,B2B SaaS,Horizontal,Compliance,Small,www.apptega.com,https://www.linkedin.com/company/apptega/about/,"75 5th Street NW, Suite 2070, Atlanta, GA 30308"
AppVault,Tom Daly,11-50 employees,Angel or Seed Funding,Founded: 2002,B2B SaaS,Horizontal,HR and Recruiting,Small,www.appvault.com,https://www.linkedin.com/company/appvault/about/,"5565 Glenridge Connector, Suite 1000, Atlanta, GA 30342"
Arpeggio Software,Rich Brown,1-10 employees,Self-funded,Founded: 2011,B2B SaaS,Horizontal,Cybersecurity,Startup,www.arpeggiosoftware.com,https://www.linkedin.com/company/arpeggio-software/about/,"2879 Peachtree Rd, #141, Atlanta, GA 30305"
ArrayFire,John Melonakos,11-50 employees,Self-funded,Founded: 2007,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,arrayfire.com,https://www.linkedin.com/company/accelereyes/about/,"90 Peachtree Pl NE, Atlanta, GA 30309"
AthenaHealth,Bob Segert,5001-10000 employees,Acquired,Founded: 1997,B2B SaaS,Healthcare,Business Mgt and ERP,Large,www.athenahealth.com,https://www.linkedin.com/company/athenahealth/about/,"675 Ponce de Leon Avenue NE, Atlanta, GA 30308"
AUVESY-MDT,Gary Gillespie,51-200 employees,Self-funded,Founded: 2007,B2B SaaS,Horizontal,Cybersecurity,Medium,auvesy-mdt.com,https://www.linkedin.com/company/auvesy-gmbh-&-co-kg/about/,"3480 Preston Ridge Road, Alpharetta, GA 30005 U.S.A"
AVOXI,David Wise,51-200 employees,VC-funded,Founded: 2001,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.avoxi.com,https://www.linkedin.com/company/avoxi/about/,"1000 Circle 75 Parkway, Atlanta, GA 30339"
Axway,Patrick Donovan,1001-5000 employees,Public,Founded: 2001,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.axway.com,https://www.linkedin.com/company/axway/about/,"1000 Parkwood Circle, SE, Suite 900, Atlanta, GA  30339"
Azalea Health,Baha Zeidan,51-200 employees,VC-funded,Founded: 2008,B2B SaaS,Healthcare,Practice Management,Medium,www.azaleahealth.com,https://www.linkedin.com/company/azalea-health/about/,"5871 Glenridge Drive NE, Suite 480, Atlanta, Georgia 30328, US"
Banyan Hills Technologies,Steve Latham,11-50 employees,Self-funded,Founded: 2013,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,banyanhills.com,https://www.linkedin.com/company/banyan-hills-technologies/about/,"Duluth, GA"
BBL Systems,Chris Vesper,1-10 employees,Self-funded,Founded: 2010,B2B SaaS,Retail,Point of Sale,Startup,www.bblsystems.com,https://www.linkedin.com/company/basiscode-technologies-llc/about/,3600 Cherokee St Suite 120-1002 Kennesaw GA 30144
BetterCloud,David Politis,201-500 employees,Private Equity funding,Founded: 2011,B2B SaaS,Horizontal,IT Mgt,Medium,www.bettercloud.com,https://www.linkedin.com/company/bettercloud/about/,"3525 Piedmont Rd. NE, Atlanta, GA 30305"
BeyondTrust,Matt Dircks,1001-5000 employees,Acquired,Founded: 1985,B2B SaaS,Horizontal,Cybersecurity,Large,www.beyondtrust.com,https://www.linkedin.com/company/beyondtrust/about/,"11695 Johns Creek Pkwy, Johns Creek, Georgia 30097, US"
BIG App Work,Esau Ramos,1-10 employees,Self-funded,Founded: 2015,B2B SaaS,Construction,Sales and Marketing,Startup,bigapp.work,https://www.linkedin.com/company/beyondtrust/about/,"4470 Chamblee Dunwoody Rd Atlanta, GA 30338"
BigContacts,Bob Walton,1-10 employees,Acquired,Founded: 2007,B2B SaaS,Horizontal,Sales and Marketing,Startup,www.bigcontacts.com,https://www.linkedin.com/company/bigcontacts/about/,"1110 Satellite Blvd NW,Suwanee,Georgia 30024"
bigWebApps,Patric Clements,11-50 employees,Self-funded,Founded: 2001,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.bigwebapps.com,https://www.linkedin.com/company/bigwebapps/about/,"1447 Peachtree St, Atlanta, GA 30309"
Bioscape Digital,Stuart Bracken,11-50 employees,Other,Founded: 2012,B2B SaaS,Healthcare,Practice Management,Small,www.bioscapedigital.com,https://www.linkedin.com/company/bioscape-digital/about/,"887 W Marietta St NW, Suite E, Atlanta, Georgia 30318"
Blissbook,Tom O'Dea,1-10 employees,Self-funded,Founded: 2010,B2B SaaS,Horizontal,HR and Recruiting,Startup,blissbook.com,https://www.linkedin.com/company/blissbook/about/,"Atlanta, GA"
Blueleap,Raleigh Burgess,11-50 employees,Self-funded,Founded: 2009,B2B SaaS,Horizontal,Communications,Small,www.blueleap.com,https://www.linkedin.com/company/blueleapinc/about/,"Atlanta, GA"
BrainLeaf,Jason Long,1-10 employees,Self-funded,Founded: 2014,B2B SaaS,Horizontal,Communications,Startup,www.brainleaf.com,https://www.linkedin.com/company/brainleaf/about/,"Athens, GA"
Branded Bridge Line,Tammie Childs,11-50 employees,Self-funded,Founded: 2012,B2B SaaS,Horizontal,Communications,Small,brandedbridgeline.com,https://www.linkedin.com/company/brandedbridgeline/about/,"675 Ponce De Leon Ave NE, Suite #8500, Atlanta, GA 30308, US"
BrandMaker,Mirko Holzer,51-200 employees,VC-funded,Founded: 1999,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.brandmaker.com,https://www.linkedin.com/company/brandmaker/about/,"225 Peachtree Street NE,  Suite 1100, Atlanta, GA 30303, USA"
Broadcom,Marla Schimke,"10,001+ employees",Acquired,Founded: 1991,B2B SaaS,Horizontal,IT Mgt,Large,www.broadcom.com,https://www.linkedin.com/company/broadcom/about/,"4385 River Green Parkway, Chattahoochee Corners, Suite 100, Duluth, Georgia 30096"
Brytecore,Eddie Krebs,1-10 employees,Self-funded,Founded: 2015,B2B SaaS,Real Estate & Property Mgt.,Sales and Marketing,Startup,www.brytecore.com,https://www.linkedin.com/company/brytecore/about/,"5775 Glenridge Dr, Sandy Springs, Georgia US"
bZx,Kyle Kistner,11-50 employees,Angel or Seed Funding,Founded: 2017,B2B SaaS,Financial Services,Cloud and Software Dev Tools,Small,bzx.network,https://www.linkedin.com/company/bzx/about/,"Atlanta, GA"
C2Perform (formerly EducationFolder),Craig Preston,11-50 employees,Self-funded,Founded: 2015,B2B SaaS,Education,Sales and Marketing,Small,www.c2perform.com,https://www.linkedin.com/company/c2perform/about/,"300 Colonial Center Drive, Suite 100, Roswell, GA 30076"
Calendly,Tope Awotona,51-200 employees,Angel or Seed Funding,Founded: 2013,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,calendly.com,https://www.linkedin.com/company/calendly/about/,"1315 Peachtree St NE, Atlanta, Georgia 30309,"
CallRail,Andy Powell,201-500 employees,Other,Founded: 2011,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.callrail.com,https://www.linkedin.com/company/callrail/about/,"100 Peachtree St., Suite 2700, Atlanta, GA 30303, US"
Care Logistics,Karl Straub,51-200 employees,Self-funded,Founded: 2010,B2B SaaS,Healthcare,Practice Management,Medium,www.carelogistics.com,https://www.linkedin.com/company/carelogistics-a-jackson-healthcare-company-/about/,"Alpharetta, GA"
SEMS Technologies,Mitch Copman,11-50 employees,Self-funded,Founded: 2007,B2B SaaS,"Energy, Gas, Oil, Utilities",Business Mgt and ERP,Small,www.cartegraph.com,https://www.linkedin.com/company/sems-technologies-llc/about/,"5400 Laurel Springs Parkway, Building 1100, Suite 1105, Suwanee, GA 30024"
CaseFleet,Jeff Kerr,1-10 employees,Self-funded,Founded: 2015,B2B SaaS,Legal,Practice Management,Startup,www.casefleet.com,https://www.linkedin.com/company/casefleet/about/,"Atlanta, GA"
CCC,Laura Dihel,1001-5000 employees,Acquired,Founded: 1980,B2B SaaS,Automotive,Business Mgt and ERP,Large,www.cccis.com,https://www.linkedin.com/company/ccc-information-services/about/,"11675 Great Oaks Way,  Suite 145, Alpharetta, GA 30022"
CDC Software,Matthew Bieber,1001-5000 employees,Acquired,Founded: 2002,B2B SaaS,Horizontal,Sales and Marketing,Large,www.cdcsoftware.com,https://www.linkedin.com/company/cdc-software-llc/about/,"Atlanta, GA"
CDRAnalyzer by TransNexus,Jim Dalton,11-50 employees,Self-funded,Founded: 1997,B2B SaaS,Horizontal,Analytics and BI,Small,transnexus.com,https://www.linkedin.com/company/transnexus/about/,"3715 Northside Parkway NW, Building 100, Suite 500, Atlanta, GA 30327"
Ceridian,David Ossip,1001-5000 employees,Acquired,Founded: 2012,B2B SaaS,Horizontal,HR and Recruiting,Large,www.ceridian.com,https://www.linkedin.com/company/ceridian/about/,"6600 Peachtree Dunwoody Rd., 300 Embassy Row, Sandy Springs, Georgia 30328, US"
ChartFast,Jeannie Hennum,51-200 employees,Self-funded,Founded: 2013,B2B SaaS,Healthcare,Practice Management,Medium,www.chartfast.com,https://www.linkedin.com/company/chartfast/about/,"5425 Sugarloaf Parkway , Suite 2201, Lawrenceville, GA 30043"
ChildPlus,Truman Thomas McMurrain,51-200 employees,Self-funded,Founded: 1986,B2B SaaS,Education,Practice Management,Medium,www.childplus.com,https://www.linkedin.com/company/childplussoftware/about/,"303 Perimeter Center N, Atlanta, Georgia 30346"
Cinamaker,Benjamin Nowak,11-50 employees,Self-funded,Founded: 2017,B2B SaaS,Horizontal,On-Demand Services,Small,cinamaker.net,https://www.linkedin.com/company/cinamaker/about/,"3619 Piedmont Rd, Atlanta, Georgia 30305, US"
ClearIP by TransNexus,Jim Dalton,11-50 employees,Self-funded,Founded: 1997,B2B SaaS,Horizontal,Communications,Small,transnexus.com,https://www.linkedin.com/company/transnexus/about/,"3715 Northside Parkway NW, Building 100, Suite 500, Atlanta, GA 30327"
CloudBolt Software,Jeff Kukowski,51-200 employees,Other,Founded: 2012,B2B SaaS,Horizontal,IT Mgt,Medium,www.cloudbolt.io,https://www.linkedin.com/company/cloudbolt/about/,"Atlanta, GA"
Cloudera,Frank O’Dowd,1001-5000 employees,Public,Founded: 2008,B2B SaaS,Horizontal,IT Mgt,Large,www.cloudera.com,https://www.linkedin.com/company/cloudera/about/,"3340 Peachtree Road, N.E. Suite 2330, Atlanta, GA 30326"
CloudMed,Lee Rivas,1001-5000 employees,Acquired,Founded: 1996,B2B SaaS,Healthcare,Accounting and Finance,Large,www.cloudmed.com,https://www.linkedin.com/company/cloudmedsolutions/about/,"1100 Peachtree Street, Suite 1900, Atlanta, GA 30309"
Cloudnosys,Jahanzaib Ahmad,11-50 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,Cybersecurity,Small,cloudnosys.com,https://www.linkedin.com/company/cloudnosys/about/,"205 Market Place, Suite 200, Roswell, Georgia 30075, US"
CN2,Margaret Martin,11-50 employees,VC-funded,Founded: 2010,B2B SaaS,Horizontal,Document Management,Small,cn2.merlinmobility.com,https://www.linkedin.com/company/cn2/about/,"1175 Peachtree Street, NE, Atlanta , GA 30361 US"
Cognira,Bahadir Ustaoglu,51-200 employees,Self-funded,Founded: 2015,B2B SaaS,Retail,Analytics and BI,Medium,cognira.com,https://www.linkedin.com/company/cognira/about/,"3423 Piedmont Rd NE, Atlanta, GA 30305, US"
Cognizant,Brian Humphries,"10,001+ employees",Public,Founded: 1994,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.cognizant.com,https://www.linkedin.com/company/cognizant/about/,"11695 Johns Creek Parkway, Suite 300, Duluth, GA 30097"
Cognosos,Nish Parikh,11-50 employees,VC-funded,Founded: 2015,B2B SaaS,Automotive,Logistics and Supply Chain,Small,www.cognosos.com,https://www.linkedin.com/company/cognosos/about/,"1100 Spring St NW, Atlanta, Georgia"
CoLinear Systems,Scott Weaver,1-10 employees,Self-funded,Founded: 1985,B2B SaaS,Horizontal,Business Mgt and ERP,Startup,www.colinear.com,https://www.linkedin.com/company/colinearsystems/about/,"2650 Holcomb Bridge Road, Suite 610, Alpharetta, GA 30022, US"
Comlite Systems,Tom Northrup,51-200 employees,Self-funded,Founded: 1983,B2B SaaS,Healthcare,Practice Management,Medium,comliteinfo.com,https://www.linkedin.com/company/colinearsystems/about/,"5174 McGinnis Ferry Rd. #159, Alpharetta, Ga 30005"
Commercient,Richard Jenkins,11-50 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,Sales and Marketing,Small,www.commercient.com,https://www.linkedin.com/company/commercient/about/,"1640 Powers Ferry Rd SE, Marietta, GA 30067, US"
Competitive Sports Analysis,Diane Bloodworth,1-10 employees,Self-funded,Founded: 2010,B2B SaaS,Sports and Fitness,Practice Management,Startup,www.scoutsmartrecruiting.com,https://www.linkedin.com/company/competitive-sports-analysis-csa-/about/,"Atlanta Tech Village, 3423 Piedmont Rd NE, Suite 200, Atlanta, GA 30305, US"
Compliance PT,Nathan Maggard,1-10 employees,Self-funded,Founded: 2014,B2B SaaS,Healthcare,Accounting and Finance,Startup,www.compliancept.com,https://www.linkedin.com/company/compliance-pt/about/,Atlanta
ComplianceMate,Steven Getraer,11-50 employees,Self-funded,Founded: 2001,B2B SaaS,Food,Compliance,Small,www.compliancemate.com,https://www.linkedin.com/company/compliancemate/about/,"1000 Hurricane Shoals Road NE, Lawrenceville, GA 30043, US"
Conduent,Cliff Skelton,"10,001+ employees",VC-funded,Founded: 2017,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.conduent.com,https://www.linkedin.com/company/conduent/about/,"1020 Delta Blvd, Ste A406, Atlanta, GA 30354, US"
ConnectALL,Lance Knight,51-200 employees,Self-funded,Founded: 2018,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,www.connectall.com,https://www.linkedin.com/company/connectallofficial/about/,"Atlanta, GA"
Continuum CRM,Lynn Madderra,11-50 employees,Self-funded,Founded: 2016,B2B SaaS,Healthcare,Business Mgt and ERP,Small,www.continuumcrm.com,https://www.linkedin.com/company/continuum-crm/about/,"6340 Sugarloaf Pkwy, Suite 200, Duluth, Georgia 30097, US"
Convoy,Dan Lewis,501-1000 employees,VC-funded,Founded: 2015,B2B SaaS,"Logistics, Supply Chain, Transportation",Marketplace,Large,convoy.com,https://www.linkedin.com/company/convoy-greypoint-inc-/about/,"600 Peachtree St NE, Atlanta, Georgia 30308, US"
Cooleaf,John Duisberg,1-10 employees,Angel or Seed Funding,Founded: 2012,B2B SaaS,Horizontal,HR and Recruiting,Startup,www.cooleaf.com,https://www.linkedin.com/company/cooleaf/about/,"3423 Piedmont Rd NE, Atlanta, GA 30305"
Cotiviti,Chris Coloian,1001-5000 employees,Acquired,Founded: 1979,B2B SaaS,Healthcare,Accounting and Finance,Large,www.cotiviti.com,https://www.linkedin.com/company/cotiviti/about/,"One Glenlake Parkway, Suite 1400, Atlanta, Georgia 30328, US"
count5,Eric Blumthal,11-50 employees,Self-funded,Founded: 2004,B2B SaaS,Horizontal,HR and Recruiting,Small,www.adaptivemicrolearningplatform.com,https://www.linkedin.com/company/treeni/about/,"Atlanta, GA"
Covetool,Sandeep Ahuja,11-50 employees,VC-funded,Founded: 2017,B2B SaaS,Construction,On-Demand Services,Small,www.cove.tools,https://www.linkedin.com/company/cove-tool-inc./about/,"83 Walton Street NW, Level 2, Atlanta, GA 30303"
CP3Cloud,Ernest Lessenger,1-10 employees,Self-funded,Founded: 2018,B2B SaaS,Horizontal,Automation,Startup,cp3cloud.com,https://www.linkedin.com/company/cp3cloud/about/,"Atlanta, GA"
CPGvision,Mike Mellin,51-200 employees,Self-funded,Founded: 2012,B2B SaaS,CPG,Analytics and BI,Medium,www.cpgvision.com,https://www.linkedin.com/company/cpgvision/about/,"125 TownPark Drive, Suite 300, Kennesaw, GA 30144, US"
CribMaster,Null,51-200 employees,Self-funded,Founded: 1992,B2B SaaS,Retail,Automation,Medium,cribmaster.com,https://www.linkedin.com/company/cribmaster/about/,"1955 West Oak Circle, Marietta, Georgia 30062, US"
Critical Fit,Daniel Brauch,1-10 employees,Self-funded,Founded: 2017,B2B SaaS,Horizontal,HR and Recruiting,Startup,www.criticalfit.com,https://www.linkedin.com/company/cribmaster/about/,"600 Northpark Building, 17th Floor, Atlanta, GA 30328 USA"
Cultura Technologies,Jim Baker,"10,001+ employees",Self-funded,Founded: 2011,B2B SaaS,Agriculture,Business Mgt and ERP,Large,www.culturatech.com,https://www.linkedin.com/company/cultura-technologies/about/,"3820 Mansell Road, Ste. 375, Alpharetta, GA 30022"
Cyber 2.0,Sneer Rozenfeld,11-50 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,Cybersecurity,Small,www.cyber20.com,https://www.linkedin.com/company/cyber2/about/,"Atlanta, GA"
Cypress.io,Drew Lanham,11-50 employees,VC-funded,Founded: 2015,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,www.cypress.io,https://www.linkedin.com/company/cypress.io/about/,"101 Marietta St NW, Suite 2500, Atlanta, Georgia 30303"
Daily Deal Builder,Tyler Horne,1-10 employees,Self-funded,Founded: 2008,B2B SaaS,"Entertainment, Hospitality, Travel",Marketplace,Startup,www.dailydealbuilder.com,https://www.linkedin.com/company/cypress.io/about/,"Atlanta, GA"
Data Profits,Stuart Dunkin,11-50 employees,Self-funded,Founded: 2007,B2B SaaS,Retail,Business Mgt and ERP,Small,www.data-profits.com,https://www.linkedin.com/company/data-profits-inc-/about/,"Norcross, GA"
DataClover,Patrick McSherry,11-50 employees,Angel or Seed Funding,Founded: 2014,B2B SaaS,Automotive,Analytics and BI,Small,www.dataclover.com,https://www.linkedin.com/company/dataclover/about/,"Atlanta, GA"
DataFinch Technologies,Jason Cummings,11-50 employees,Self-funded,Founded: 2009,B2B SaaS,Healthcare,Practice Management,Small,datafinch.com,https://www.linkedin.com/company/datafinch/about/,"Atlanta, GA"
DataOceans,Larry Buckley,11-50 employees,Angel or Seed Funding,Founded: 2005,B2B SaaS,Horizontal,Document Management,Small,dataoceans.com,https://www.linkedin.com/company/dataoceans/about/,"3091 Governors Lake Dr, Suite 400, Norcross, Georgia 30071"
Datatrac,Henry Dixon,11-50 employees,Self-funded,Founded: 1977,B2B SaaS,"Logistics, Supply Chain, Transportation",Business Mgt and ERP,Small,www.datatrac.com,https://www.linkedin.com/company/datatrac-corporation/about/,"Alpharetta, GA"
DecisionIQ,Andrew Lewis,11-50 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,Analytics and BI,Small,decisioniq.com,http://www.linkedin.com/company/decisioniq/about/,"75 5th Street NW, Suite 2000, Atlanta, GA 30308"
Decisionlink,Jim Berryhill,11-50 employees,VC-funded,Founded: 2011,B2B SaaS,Horizontal,Sales and Marketing,Small,www.decisionlink.com,https://www.linkedin.com/company/decisionlink/about/,"3423 Piedmont Rd NE, Atlanta, GA 30305"
Demand Driven Technologies,Erik Bush,11-50 employees,Angel or Seed Funding,Founded: 2012,B2B SaaS,Horizontal,Logistics and Supply Chain,Small,www.demanddriventech.com,https://www.linkedin.com/company/demand-driven-technologies/about/,"400 Northridge Rd, Suite 590, Atlanta, Georgia 30350, US"
DemandBridge,David Rich,11-50 employees,VC-funded,Founded: 1975,B2B SaaS,Horizontal,Ecommerce,Small,www.demandbridge.com,https://www.linkedin.com/company/demandbridge/about/,"Norcross, GA"
Deposco,Bill Gibson,51-200 employees,VC-funded,Founded: 2004,B2B SaaS,Horizontal,Logistics and Supply Chain,Medium,www.deposco.com,https://www.linkedin.com/company/deposco/about/,"11605 Haynes Bridge Rd, Alpharetta, Georgia 30009 US"
DigitalRoute,Andreas Zartmann,201-500 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,Analytics and BI,Medium,www.digitalroute.com,https://www.linkedin.com/company/digital-route/about/,"11680 Great Oaks Way, Alpharetta GA 30022"
Pronto Home Repairs,Erik Stadler,11-50 employees,VC-funded,Founded: 2015,B2B SaaS,Construction,Marketplace,Small,www.digs.company,https://www.linkedin.com/company/pronto-home-repairs/about/,"3200 Atlanta Silverbacks Way, Atlanta, GA 30340, US"
Domino Solutions,Darren T. Rand,11-50 employees,Angel or Seed Funding,Founded: 2012,B2B SaaS,Horizontal,Sales and Marketing,Small,dominosolutions.com,http://www.linkedin.com/company/domino-solutions-llc/about/,"4506 Candler Lake East, Atlanta, GA 30319,"
